source,author,title,description,url,urlToImage,publishedAt,content,source_name
"{'id': None, 'name': 'Forbes'}","Jamie Hailstone, Contributor, 
 Jamie Hailstone, Contributor
 https://www.forbes.com/sites/jamiehailstone/",Irish MP Seeks To Give Workers Legal Right To Clean Air,An opposition MP in the Republic of Ireland is pushing for the right to breathe clean air in the workplace to be enshrined in law.,https://www.forbes.com/sites/jamiehailstone/2021/12/14/irish-mp-seeks-to-give-workers-legal-right-to-clean-air/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F61b87a2c11066662da2df6f1%2F0x0.jpg,2021-12-14T11:08:23Z,"BERLIN, GERMANY - JULY 14: People work at computers in the community space of Factory Berlin on ... [+] July 14, 2016 in Berlin, Germany. Factory Berlin is a commercial space that has sought to attra… [+4405 chars]",Forbes
"{'id': None, 'name': 'Forbes'}","Ken Fleming, Forbes Councils Member, 
 Ken Fleming, Forbes Councils Member
 https://www.forbes.com/sites/forbestechcouncil/people/kenfleming1/",How To Ensure Successful International E-Commerce In The Time Of Supply Chain Crises,"By taking these steps, e-commerce retailers can capitalize on the growing number of consumers willing to purchase goods cross-border, even in a time of global supply chain crises.",https://www.forbes.com/sites/forbestechcouncil/2021/12/13/how-to-ensure-successful-international-e-commerce-in-the-time-of-supply-chain-crises/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5f85c9ba0bc0be5db707c0f1%2F0x0.jpg,2021-12-13T13:00:00Z,"President at Logistyx Technologies, overseeing the company's parcel shipping technology innovation worldwide.
getty
Logistyx Technologies, the company I work for, recently commissioned a survey on … [+4892 chars]",Forbes
"{'id': 'independent', 'name': 'Independent'}",Katharine Hay,Scotland’s private sector growth rate at lowest since April,"Data shows inflation has hit a series record for the second month running, the latest Royal Bank of Scotland PMI shows.",https://www.independent.co.uk/business/scotland-s-private-sector-growth-rate-at-lowest-since-april-b1974731.html,https://static.independent.co.uk/2021/12/13/00/5ccd4962baab940d5995c7293cee004cY29udGVudHNlYXJjaGFwaSwxNjM5MjQ1OTE0-2.57282149.jpg?width=1200&auto=webp&quality=75,2021-12-13T00:01:00Z,"The rate of business growth in Scotlands private sector is at its lowest since April, a report has shown.
The data, seen in the latest Royal Bank of Scotland PMI, shows the banks business activity i… [+2526 chars]",Independent
"{'id': None, 'name': 'Yahoo Entertainment'}",BBC,"Half of UK families £110 a year worse off since 2019, report says",Study by the New Economics Foundation suggests the income gap has widened since the General Election.,https://news.yahoo.com/half-uk-families-110-worse-053123780.html,https://s.yimg.com/uu/api/res/1.2/qAjmJgAaFEKwEM7Gflgzhg--~B/aD01NDk7dz05NzY7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/bbc_us_articles_995/84f29dafe51de7f9b7b1bdddcecab11f,2021-12-13T12:31:47Z,"Stock image of a mum holding an infant while working on a laptop.
Half of UK families have seen their disposable incomes shrink in the last two years, new analysis suggests.
A report by a left-of-c… [+4254 chars]",Yahoo Entertainment
"{'id': None, 'name': 'Yahoo Entertainment'}",PA Media: UK News,‘Significant gaps’ becomes 2021 Brexit buzzword as EU exit continues to ripple,Rows over the Northern Ireland Protocol and fishing rights have rumbled on throughout the year.,https://ca.news.yahoo.com/significant-gaps-becomes-2021-brexit-024537382.html,https://s.yimg.com/ny/api/res/1.2/IRzcWaLe_iU0KONj6rYkXg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/uu/api/res/1.2/oVVnFHoJj1EZzQr8mF7U.w--~B/aD0yMjUwO3c9NDAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/pa_viral_news_uk_120/bcc5bff820b83edc417973c468cbebec,2021-12-13T02:45:37Z,"Those hoping the introduction of a free trade deal between the UK and the European Union on January 1 would mark the end of the Brexit discussion would find themselves sorely disappointed in 2021.
R… [+3969 chars]",Yahoo Entertainment
"{'id': None, 'name': 'New Statesman'}",Ian McEwan,George Orwell Outside the Whale,"I’ll start with a place, a Paris apartment in Montparnasse, and a date, 23 December 1936, and a gift from one writer to another of his corduroy jacket which, from the point of view of the recipient, m",https://www.newstatesman.com/culture/books/2021/12/george-orwell-outside-the-whale,https://www.newstatesman.com/wp-content/uploads/sites/2/2021/12/202149-George-Orwell-NEW-1038x778.jpg,2021-12-12T02:14:27Z,"Ill start with a place, a Paris apartment in Montparnasse, and a date, 23 December 1936, and a gift from one writer to another of his corduroy jacket which, from the point of view of the recipient, m… [+34586 chars]",New Statesman
"{'id': None, 'name': 'The Guardian'}",Melissa Godin,"Morning mail: borders reopen, tornado toll, cookbooks at Christmas",Monday: Queensland reopens after almost five months. Plus: Russian missiles spotted near the Ukraine borderGood morning. The Queensland border has reopened to the fully vaccinated after nearly five months as WA prepares to announce its reopening plan. The US …,https://amp.theguardian.com/australia-news/2021/dec/13/morning-mail-borders-reopen-tornado-toll-cookbooks-at-christmas,https://i.guim.co.uk/img/media/7f3b5549c4e4f5fa35a351011f05cb620bf141ef/0_110_3306_1984/master/3306.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=7dc27bf7c02351ca6297c9766c5d4200,2021-12-12T19:56:42Z,Good morning. The Queensland border has reopened to the fully vaccinated after nearly five months as WA prepares to announce its reopening plan. The US grapples with the aftermath of devastating torn… [+7111 chars],The Guardian
"{'id': None, 'name': 'Euronews'}",Alice Tidey,Omicron: Boris Johnson braces for MP rebellion against latest COVID measures,Between 60 and 80 Conservative lawmakers are expected to vote against the government's latest COVID measures.,https://www.euronews.com/2021/12/14/omicron-boris-johnson-braces-for-mp-rebellion-against-latest-covid-measures,https://static.euronews.com/articles/stories/06/30/27/66/1000x563_cmsv2_2df6c840-f4a7-53fb-9c2a-3822d7a01799-6302766.jpg,2021-12-14T07:12:49Z,"British Prime Minister Boris Johnson could face the wrath of his party's MPs on Tuesday with dozens set to rebel against a vote to introduce new COVID-19 measures.
Between 60 and 80 Conservative law… [+4037 chars]",Euronews
"{'id': None, 'name': 'TheJournal.ie'}",Ian Curran,Irish trade and politics are being transformed by Brexit - but how? What can we expect in 2022?,We’ve spent the last six weeks attempting to answer these questions at The Good Information Project.,https://www.thejournal.ie/brexit-anglo-irish-relations-2-5622486-Dec2021/,https://img2.thejournal.ie/article/5622486/river/?height=400&version=5626115,2021-12-12T19:00:46Z,"AFTER FOUR YEARS of predictions, prognostications and recriminations over Brexit, the rubber finally hit the road in 2020 when Britain formally left the European Union on New Years Day.
And with a l… [+7086 chars]",TheJournal.ie
"{'id': 'independent', 'name': 'Independent'}",Emily Atkinson,Solar parks may boost bumblebee population in UK,Solar parks could become ‘valuable habitats’ for bumblebees,https://www.independent.co.uk/climate-change/solar-parks-bumblebee-population-b1975185.html,https://static.independent.co.uk/2021/01/08/20/newFile-4.jpg?width=1200&auto=webp&quality=75,2021-12-13T18:20:32Z,"Making simple changes to the way solar parks in the UK are managed could boost nesting bumblebee populations in parks and surrounding areas, new research shows.
As well as being an effective source … [+3103 chars]",Independent
